Time, Seller, Reward Winner, TokenId, Mint Price ETH, Selling Price ETH, Up Sold, Royalty, Reward
2021-05-24T03:35:59.000Z, '0x1d3eda0356e492d51fde4ffb8651c549bdecbdca', '0x1d3eda0356e492d51fde4ffb8651c549bdecbdca', 4486, 0.08, 0.24000000000000005, 300.00000000000006%, 50%, 0.012000000000000003 
2021-05-24T03:51:24.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 8059, 0.08, 0.49, 612.5%, 50%, 0.0245 
2021-05-24T04:31:23.000Z, '0x92f9caf16d9b23e794f3aa9615f4a56fad3fc3dd', '0x92f9caf16d9b23e794f3aa9615f4a56fad3fc3dd', 5357, 0.08, 0.45, 562.5%, 50%, 0.0225 
2021-05-24T04:57:19.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 3852, 0.08, 0.46, 575%, 50%, 0.023 
2021-05-24T05:12:07.000Z, '0xb53349160e38739b37e4bbfcf950ed26e26fcb41', '0xb53349160e38739b37e4bbfcf950ed26e26fcb41', 5049, 0.08, 0.42, 525%, 50%, 0.021 
2021-05-24T05:54:24.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4817, 0.08, 0.38, 475%, 50%, 0.019 
2021-05-24T05:54:55.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 8521, 0.08, 0.42, 525%, 50%, 0.021 
2021-05-24T05:56:57.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 1764, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-24T06:37:54.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4168, 0.08, 0.44, 550%, 50%, 0.022 
2021-05-24T06:47:25.000Z, '0x0709b103d46d71458a71e5d81230dd688809a53d', '0x0709b103d46d71458a71e5d81230dd688809a53d', 8884, 0.08, 0.43, 537.5%, 50%, 0.0215 
